state,year,deaths,population,crude_rate,crude_rate_lower_95%_confidence_interval,crude_rate_upper_95%_confidence_interval,prescriptions_dispensed_by_us_retailers_in_that_year_(millions)
Alabama,1999,39.0,4430141,0.9,0.6,1.2,116
Alabama,2000,46.0,4447100,1.0,0.8,1.4,126
Alabama,2001,67.0,4467634,1.5,1.2,1.9,138
Alabama,2002,75.0,4480089,1.7,1.3,2.1,142
Alabama,2003,54.0,4503491,1.2,0.9,1.6,149
Alabama,2004,92.0,4530729,2.0,1.6,2.5,155
Alabama,2005,83.0,4569805,1.8,1.4,2.3,163
Alabama,2006,134.0,4628981,2.9,2.4,3.4,174
Alabama,2007,172.0,4672840,3.7,3.1,4.2,184
Alabama,2008,195.0,4718206,4.1,3.6,4.7,196
Alabama,2009,210.0,4757938,4.4,3.8,5.0,202
Alabama,2010,194.0,4779736,4.1,3.5,4.6,210
Alabama,2011,180.0,4802740,3.7,3.2,4.3,219
Alabama,2012,175.0,4822023,3.6,3.1,4.2,217
Alabama,2013,175.0,4833722,3.6,3.1,4.2,207
Alabama,2014,282.0,4849377,5.8,5.1,6.5,196
Alaska,1999,28.0,624779,4.5,3.0,6.5,116
Alaska,2000,27.0,626932,4.3,2.8,6.3,126
Alaska,2001,17.0,633714,5.9,1.6,4.3,138
Alaska,2002,228.0,642337,5.9,4.9,6.5,142
Alaska,2003,14.0,648414,5.9,1.2,3.6,149
Alaska,2004,11.0,659286,5.9,0.8,3.0,155
Alaska,2005,19.0,666946,5.9,1.7,4.4,163
Alaska,2006,29.0,675302,4.3,2.9,6.2,174
Alaska,2007,16.0,680300,5.9,1.3,3.8,184
Alaska,2008,94.0,687455,13.7,11.0,16.7,196
Alaska,2009,94.0,698895,13.4,10.9,16.5,202
Alaska,2010,71.0,710231,10.0,7.8,12.6,210
Alaska,2011,72.0,722718,10.0,7.8,12.5,219
Alaska,2012,81.0,731449,11.1,8.8,13.8,217
Alaska,2013,69.0,735132,9.4,7.3,11.9,207
Alaska,2014,79.0,736732,10.7,8.5,13.4,196
Arizona,1999,250.0,5023823,5.0,4.4,5.6,116
Arizona,2000,249.0,5130632,4.9,4.3,5.5,126
Arizona,2001,275.0,5273477,5.2,4.6,5.8,138
Arizona,2002,340.0,5396255,6.3,5.6,7.0,142
Arizona,2003,350.0,5510364,6.4,5.7,7.0,149
Arizona,2004,360.0,5652404,6.4,5.7,7.0,155
Arizona,2005,393.0,5839077,6.7,6.1,7.4,163
Arizona,2006,479.0,6029141,7.9,7.2,8.7,174
Arizona,2007,490.0,6167681,7.9,7.2,8.6,184
Arizona,2008,515.0,6280362,8.2,7.5,8.9,196
Arizona,2009,625.0,6343154,9.9,9.1,10.6,202
Arizona,2010,650.0,6392017,10.2,9.4,11.0,210
Arizona,2011,596.0,6482505,9.2,8.5,9.9,219
Arizona,2012,565.0,6553255,8.6,7.9,9.3,217
Arizona,2013,545.0,6626624,8.2,7.5,8.9,207
Arizona,2014,616.0,6731484,9.2,8.4,9.9,196
Arkansas,1999,29.0,2651860,1.1,0.7,1.6,116
Arkansas,2000,20.0,2673400,0.7,0.5,1.2,126
Arkansas,2001,30.0,2691571,1.1,0.8,1.6,138
Arkansas,2002,96.0,2705927,3.5,2.9,4.3,142
Arkansas,2003,98.0,2724816,3.6,2.9,4.4,149
Arkansas,2004,133.0,2749686,4.8,4.0,5.7,155
Arkansas,2005,127.0,2781097,4.6,3.8,5.4,163
Arkansas,2006,149.0,2821761,5.3,4.4,6.1,174
Arkansas,2007,156.0,2848650,5.5,4.6,6.3,184
Arkansas,2008,210.0,2874554,7.3,6.3,8.3,196
Arkansas,2009,221.0,2896843,7.6,6.6,8.6,202
Arkansas,2010,198.0,2915918,6.8,5.8,7.7,210
Arkansas,2011,176.0,2937979,6.0,5.1,6.9,219
Arkansas,2012,181.0,2949131,6.1,5.2,7.0,217
Arkansas,2013,175.0,2959373,5.9,5.0,6.8,207
Arkansas,2014,179.0,2966369,6.0,5.2,6.9,196
California,1999,1598.0,33499204,4.8,4.5,5.0,116
California,2000,1105.0,33871648,3.3,3.1,3.5,126
California,2001,605.0,34479458,1.8,1.6,1.9,138
California,2002,1583.0,34871843,4.5,4.3,4.8,142
California,2003,1530.0,35253159,4.3,4.1,4.6,149
California,2004,1547.0,35574576,4.3,4.1,4.6,155
California,2005,1485.0,35827943,4.1,3.9,4.4,163
California,2006,1602.0,36021202,4.4,4.2,4.7,174
California,2007,1762.0,36250311,4.9,4.6,5.1,184
California,2008,1889.0,36604337,5.2,4.9,5.4,196
California,2009,2128.0,36961229,5.8,5.5,6.0,202
California,2010,2059.0,37253956,5.5,5.3,5.8,210
California,2011,2057.0,37691912,5.5,5.2,5.7,219
California,2012,1847.0,38041430,4.9,4.6,5.1,217
California,2013,2088.0,38332521,5.4,5.2,5.7,207
California,2014,2159.0,38802500,5.6,5.3,5.8,196
Colorado,1999,169.0,4226018,4.0,3.4,4.6,116
Colorado,2000,184.0,4301261,4.3,3.7,4.9,126
Colorado,2001,204.0,4425687,4.6,4.0,5.2,138
Colorado,2002,206.0,4490406,4.6,4.0,5.2,142
Colorado,2003,229.0,4528732,5.1,4.4,5.7,149
Colorado,2004,233.0,4575013,5.1,4.4,5.7,155
Colorado,2005,310.0,4631888,6.7,5.9,7.4,163
Colorado,2006,337.0,4720423,7.1,6.4,7.9,174
Colorado,2007,368.0,4803868,7.7,6.9,8.4,184
Colorado,2008,365.0,4889730,7.5,6.7,8.2,196
Colorado,2009,412.0,4972195,8.3,7.5,9.1,202
Colorado,2010,325.0,5029196,6.5,5.8,7.2,210
Colorado,2011,423.0,5116796,8.3,7.5,9.1,219
Colorado,2012,415.0,5187582,8.0,7.2,8.8,217
Colorado,2013,443.0,5268367,8.4,7.6,9.2,207
Colorado,2014,532.0,5355866,9.9,9.1,10.8,196
Connecticut,1999,158.0,3386401,4.7,3.9,5.4,116
Connecticut,2000,173.0,3405565,5.1,4.3,5.8,126
Connecticut,2001,158.0,3432835,4.6,3.9,5.3,138
Connecticut,2002,174.0,3458749,5.0,4.3,5.8,142
Connecticut,2003,168.0,3484336,4.8,4.1,5.6,149
Connecticut,2004,196.0,3496094,5.6,4.8,6.4,155
Connecticut,2005,175.0,3506956,5.0,4.3,5.7,163
Connecticut,2006,238.0,3517460,6.8,5.9,7.6,174
Connecticut,2007,249.0,3527270,7.1,6.2,7.9,184
Connecticut,2008,233.0,3545579,6.6,5.7,7.4,196
Connecticut,2009,220.0,3561807,6.2,5.4,7.0,202
Connecticut,2010,225.0,3574097,6.3,5.5,7.1,210
Connecticut,2011,213.0,3580709,5.9,5.1,6.7,219
Connecticut,2012,202.0,3590347,5.6,4.9,6.4,217
Connecticut,2013,442.0,3596080,12.3,11.1,13.4,207
Connecticut,2014,531.0,3596677,14.8,13.5,16.0,196
Delaware,1999,32.0,774990,4.1,2.8,5.8,116
Delaware,2000,36.0,783600,4.6,3.2,6.4,126
Delaware,2001,40.0,795699,5.0,3.6,6.8,138
Delaware,2002,54.0,806169,6.7,5.0,8.7,142
Delaware,2003,46.0,818003,5.6,4.1,7.5,149
Delaware,2004,38.0,830803,4.6,3.2,6.3,155
Delaware,2005,33.0,845150,3.9,2.7,5.5,163
Delaware,2006,42.0,859268,4.9,3.5,6.6,174
Delaware,2007,52.0,871749,6.0,4.5,7.8,184
Delaware,2008,68.0,883874,7.7,6.0,9.8,196
Delaware,2009,93.0,891730,10.4,8.4,12.8,202
Delaware,2010,116.0,897934,12.9,10.6,15.3,210
Delaware,2011,115.0,907135,12.7,10.4,15.0,219
Delaware,2012,86.0,917092,9.4,7.5,11.6,217
Delaware,2013,115.0,925749,12.4,10.2,14.7,207
Delaware,2014,125.0,935614,13.4,11.0,15.7,196
District of Columbia,1999,28.0,570213,4.9,3.3,7.1,116
District of Columbia,2000,43.0,572059,7.5,5.4,10.1,126
District of Columbia,2001,48.0,574504,8.4,6.2,11.1,138
District of Columbia,2002,29.0,573158,5.1,3.4,7.3,142
District of Columbia,2003,60.0,568502,10.6,8.1,13.6,149
District of Columbia,2004,53.0,567754,9.3,7.0,12.2,155
District of Columbia,2005,45.0,567136,7.9,5.8,10.6,163
District of Columbia,2006,62.0,570681,10.9,8.3,13.9,174
District of Columbia,2007,29.0,574404,5.0,3.4,7.3,184
District of Columbia,2008,33.0,580236,5.7,3.9,8.0,196
District of Columbia,2009,13.0,592228,5.9,1.2,3.8,202
District of Columbia,2010,36.0,601723,6.0,4.2,8.3,210
District of Columbia,2011,57.0,617996,9.2,7.0,11.9,219
District of Columbia,2012,45.0,632323,7.1,5.2,9.5,217
District of Columbia,2013,60.0,646449,9.3,7.1,11.9,207
District of Columbia,2014,65.0,658893,9.9,7.6,12.6,196
Florida,1999,417.0,15759421,2.6,2.4,2.9,116
Florida,2000,571.0,15982378,3.6,3.3,3.9,126
Florida,2001,890.0,16356966,5.4,5.1,5.8,138
Florida,2002,1001.0,16689370,6.0,5.6,6.4,142
Florida,2003,1080.0,17004085,6.4,6.0,6.7,149
Florida,2004,1258.0,17415318,7.2,6.8,7.6,155
Florida,2005,1151.0,17842038,6.5,6.1,6.8,163
Florida,2006,1323.0,18166990,7.3,6.9,7.7,174
Florida,2007,1519.0,18367842,8.3,7.9,8.7,184
Florida,2008,1523.0,18527305,8.2,7.8,8.6,196
Florida,2009,1654.0,18652644,8.9,8.4,9.3,202
Florida,2010,1739.0,18801310,9.2,8.8,9.7,210
Florida,2011,1637.0,19057542,8.6,8.2,9.0,219
Florida,2012,1383.0,19317568,7.2,6.8,7.5,217
Florida,2013,1327.0,19552860,6.8,6.4,7.2,207
Florida,2014,1446.0,19893297,7.3,6.9,7.6,196
Georgia,1999,85.0,8045965,1.1,0.8,1.3,116
Georgia,2000,134.0,8186453,1.6,1.4,1.9,126
Georgia,2001,199.0,8377038,2.4,2.0,2.7,138
Georgia,2002,223.0,8508256,2.6,2.3,3.0,142
Georgia,2003,248.0,8622793,2.9,2.5,3.2,149
Georgia,2004,269.0,8769252,3.1,2.7,3.4,155
Georgia,2005,312.0,8925922,3.5,3.1,3.9,163
Georgia,2006,344.0,9155813,3.8,3.4,4.2,174
Georgia,2007,404.0,9349988,4.3,3.9,4.7,184
Georgia,2008,417.0,9504843,4.4,4.0,4.8,196
Georgia,2009,504.0,9620846,5.2,4.8,5.7,202
Georgia,2010,550.0,9687653,5.7,5.2,6.2,210
Georgia,2011,549.0,9815210,5.6,5.1,6.1,219
Georgia,2012,551.0,9919945,5.6,5.1,6.0,217
Georgia,2013,539.0,9992167,5.4,4.9,5.8,207
Georgia,2014,724.0,10097343,7.2,6.6,7.7,196
Hawaii,1999,34.0,1210300,2.8,1.9,3.9,116
Hawaii,2000,31.0,1211537,2.6,1.7,3.6,126
Hawaii,2001,39.0,1225948,3.2,2.3,4.3,138
Hawaii,2002,48.0,1239613,3.9,2.9,5.1,142
Hawaii,2003,47.0,1251154,3.8,2.8,5.0,149
Hawaii,2004,64.0,1273569,5.0,3.9,6.4,155
Hawaii,2005,75.0,1292729,5.8,4.6,7.3,163
Hawaii,2006,67.0,1309731,5.1,4.0,6.5,174
Hawaii,2007,82.0,1315675,6.2,5.0,7.7,184
Hawaii,2008,58.0,1332213,4.4,3.3,5.6,196
Hawaii,2009,59.0,1346717,4.4,3.3,5.7,202
Hawaii,2010,77.0,1360301,5.7,4.5,7.1,210
Hawaii,2011,78.0,1374810,5.7,4.5,7.1,219
Hawaii,2012,64.0,1392313,4.6,3.5,5.9,217
Hawaii,2013,70.0,1404054,5.0,3.9,6.3,207
Hawaii,2014,62.0,1419561,4.4,3.3,5.6,196
Idaho,1999,32.0,1275674,2.5,1.7,3.5,116
Idaho,2000,29.0,1293953,2.2,1.5,3.2,126
Idaho,2001,51.0,1319962,3.9,2.9,5.1,138
Idaho,2002,45.0,1340372,3.4,2.4,4.5,142
Idaho,2003,55.0,1363380,4.0,3.0,5.3,149
Idaho,2004,48.0,1391802,3.4,2.5,4.6,155
Idaho,2005,52.0,1428241,3.6,2.7,4.8,163
Idaho,2006,71.0,1468669,4.8,3.8,6.1,174
Idaho,2007,64.0,1505105,4.3,3.3,5.4,184
Idaho,2008,75.0,1534320,4.9,3.8,6.1,196
Idaho,2009,66.0,1554439,4.2,3.3,5.4,202
Idaho,2010,81.0,1567582,5.2,4.1,6.4,210
Idaho,2011,80.0,1584985,5.0,4.0,6.3,219
Idaho,2012,61.0,1595728,3.8,2.9,4.9,217
Idaho,2013,81.0,1612136,5.0,4.0,6.2,207
Idaho,2014,80.0,1634464,4.9,3.9,6.1,196
Illinois,1999,544.0,12359020,4.4,4.0,4.8,116
Illinois,2000,629.0,12419293,5.1,4.7,5.5,126
Illinois,2001,583.0,12488445,4.7,4.3,5.0,138
Illinois,2002,612.0,12525556,4.9,4.5,5.3,142
Illinois,2003,504.0,12556006,4.0,3.7,4.4,149
Illinois,2004,575.0,12589773,4.6,4.2,4.9,155
Illinois,2005,647.0,12609903,5.1,4.7,5.5,163
Illinois,2006,929.0,12643955,7.3,6.9,7.8,174
Illinois,2007,739.0,12695866,5.8,5.4,6.2,184
Illinois,2008,895.0,12747038,7.0,6.6,7.5,196
Illinois,2009,933.0,12796778,7.3,6.8,7.8,202
Illinois,2010,921.0,12830632,7.2,6.7,7.6,210
Illinois,2011,955.0,12869257,7.4,7.0,7.9,219
Illinois,2012,1204.0,12875255,9.4,8.8,9.9,217
Illinois,2013,1139.0,12882135,8.8,8.3,9.4,207
Illinois,2014,1263.0,12880580,9.8,9.3,10.3,196
Indiana,1999,49.0,6044969,0.8,0.6,1.1,116
Indiana,2000,47.0,6080485,0.8,0.6,1.0,126
Indiana,2001,79.0,6127760,1.3,1.0,1.6,138
Indiana,2002,74.0,6155967,1.2,0.9,1.5,142
Indiana,2003,140.0,6196638,2.3,1.9,2.6,149
Indiana,2004,150.0,6233007,2.4,2.0,2.8,155
Indiana,2005,169.0,6278616,2.7,2.3,3.1,163
Indiana,2006,188.0,6332669,3.0,2.5,3.4,174
Indiana,2007,251.0,6379599,3.9,3.4,4.4,184
Indiana,2008,324.0,6424806,5.0,4.5,5.6,196
Indiana,2009,339.0,6459325,5.2,4.7,5.8,202
Indiana,2010,300.0,6483802,4.6,4.1,5.2,210
Indiana,2011,375.0,6516922,5.8,5.2,6.3,219
Indiana,2012,397.0,6537334,6.1,5.5,6.7,217
Indiana,2013,387.0,6570902,5.9,5.3,6.5,207
Indiana,2014,489.0,6596855,7.4,6.8,8.1,196
Iowa,1999,15.0,2917634,5.9,0.3,0.8,116
Iowa,2000,19.0,2926324,5.9,0.4,1.0,126
Iowa,2001,29.0,2931997,1.0,0.7,1.4,138
Iowa,2002,41.0,2934234,1.4,1.0,1.9,142
Iowa,2003,43.0,2941999,1.5,1.1,2.0,149
Iowa,2004,65.0,2953635,2.2,1.7,2.8,155
Iowa,2005,74.0,2964454,2.5,2.0,3.1,163
Iowa,2006,101.0,2982644,3.4,2.7,4.0,174
Iowa,2007,112.0,2999212,3.7,3.0,4.4,184
Iowa,2008,138.0,3016734,4.6,3.8,5.3,196
Iowa,2009,148.0,3032870,4.9,4.1,5.7,202
Iowa,2010,163.0,3046355,5.4,4.5,6.2,210
Iowa,2011,183.0,3062309,6.0,5.1,6.8,219
Iowa,2012,185.0,3074186,6.0,5.2,6.9,217
Iowa,2013,190.0,3090416,6.1,5.3,7.0,207
Iowa,2014,170.0,3107126,5.5,4.6,6.3,196
Kansas,1999,26.0,2678338,1.0,0.6,1.4,116
Kansas,2000,23.0,2688418,0.9,0.5,1.3,126
Kansas,2001,47.0,2702162,1.7,1.3,2.3,138
Kansas,2002,87.0,2713535,3.2,2.6,4.0,142
Kansas,2003,78.0,2723004,2.9,2.3,3.6,149
Kansas,2004,118.0,2734373,4.3,3.5,5.1,155
Kansas,2005,112.0,2745299,4.1,3.3,4.8,163
Kansas,2006,127.0,2762931,4.6,3.8,5.4,174
Kansas,2007,128.0,2783785,4.6,3.8,5.4,184
Kansas,2008,103.0,2808076,3.7,3.0,4.4,196
Kansas,2009,160.0,2832704,5.6,4.8,6.5,202
Kansas,2010,111.0,2853118,3.9,3.2,4.6,210
Kansas,2011,131.0,2871238,4.6,3.8,5.3,219
Kansas,2012,184.0,2885905,6.4,5.5,7.3,217
Kansas,2013,171.0,2893957,5.9,5.0,6.8,207
Kansas,2014,188.0,2904021,6.5,5.5,7.4,196
Kentucky,1999,56.0,4018053,1.4,1.1,1.8,116
Kentucky,2000,94.0,4041769,2.3,1.9,2.8,126
Kentucky,2001,149.0,4068132,3.7,3.1,4.3,138
Kentucky,2002,185.0,4089875,4.5,3.9,5.2,142
Kentucky,2003,242.0,4117170,5.9,5.1,6.6,149
Kentucky,2004,237.0,4146101,5.7,5.0,6.4,155
Kentucky,2005,294.0,4182742,7.0,6.2,7.8,163
Kentucky,2006,343.0,4219239,8.1,7.3,9.0,174
Kentucky,2007,356.0,4256672,8.4,7.5,9.2,184
Kentucky,2008,377.0,4289878,8.8,7.9,9.7,196
Kentucky,2009,455.0,4317074,10.5,9.6,11.5,202
Kentucky,2010,624.0,4339367,14.4,13.3,15.5,210
Kentucky,2011,707.0,4369356,16.2,15.0,17.4,219
Kentucky,2012,713.0,4380415,16.3,15.1,17.5,217
Kentucky,2013,689.0,4395295,15.7,14.5,16.8,207
Kentucky,2014,762.0,4413457,17.3,16.0,18.5,196
Louisiana,1999,30.0,4460811,0.7,0.5,1.0,116
Louisiana,2000,53.0,4468976,1.2,0.9,1.6,126
Louisiana,2001,87.0,4477875,1.9,1.6,2.4,138
Louisiana,2002,105.0,4497267,2.3,1.9,2.8,142
Louisiana,2003,131.0,4521042,2.9,2.4,3.4,149
Louisiana,2004,158.0,4552238,3.5,2.9,4.0,155
Louisiana,2005,185.0,4576628,4.0,3.5,4.6,163
Louisiana,2006,203.0,4302665,4.7,4.1,5.4,174
Louisiana,2007,228.0,4375581,5.2,4.5,5.9,184
Louisiana,2008,141.0,4435586,3.2,2.7,3.7,196
Louisiana,2009,131.0,4491648,2.9,2.4,3.4,202
Louisiana,2010,130.0,4533372,2.9,2.4,3.4,210
Louisiana,2011,121.0,4574836,2.6,2.2,3.1,219
Louisiana,2012,180.0,4601893,3.9,3.3,4.5,217
Louisiana,2013,270.0,4625470,5.8,5.1,6.5,207
Louisiana,2014,266.0,4649676,5.7,5.0,6.4,196
Maine,1999,32.0,1266808,2.5,1.7,3.6,116
Maine,2000,42.0,1274923,3.3,2.4,4.5,126
Maine,2001,61.0,1285692,4.7,3.6,6.1,138
Maine,2002,100.0,1295960,7.7,6.2,9.2,142
Maine,2003,92.0,1306513,7.0,5.7,8.6,149
Maine,2004,105.0,1313688,8.0,6.5,9.5,155
Maine,2005,124.0,1318787,9.4,7.7,11.1,163
Maine,2006,97.0,1323619,7.3,5.9,8.9,174
Maine,2007,108.0,1327040,8.1,6.6,9.7,184
Maine,2008,108.0,1330509,8.1,6.6,9.6,196
Maine,2009,119.0,1329590,9.0,7.3,10.6,202
Maine,2010,91.0,1328361,6.9,5.5,8.4,210
Maine,2011,95.0,1328188,7.2,5.8,8.7,219
Maine,2012,107.0,1329192,8.1,6.5,9.6,217
Maine,2013,134.0,1328302,10.1,8.4,11.8,207
Maine,2014,174.0,1330089,13.1,11.1,15.0,196
Maryland,1999,503.0,5254509,9.6,8.7,10.4,116
Maryland,2000,497.0,5296486,9.4,8.6,10.2,126
Maryland,2001,500.0,5374691,9.3,8.5,10.1,138
Maryland,2002,562.0,5440389,10.3,9.5,11.2,142
Maryland,2003,568.0,5496269,10.3,9.5,11.2,149
Maryland,2004,493.0,5546935,8.9,8.1,9.7,155
Maryland,2005,507.0,5592379,9.1,8.3,9.9,163
Maryland,2006,584.0,5627367,10.4,9.5,11.2,174
Maryland,2007,620.0,5653408,11.0,10.1,11.8,184
Maryland,2008,533.0,5684965,9.4,8.6,10.2,196
Maryland,2009,594.0,5730388,10.4,9.5,11.2,202
Maryland,2010,522.0,5773552,9.0,8.3,9.8,210
Maryland,2011,562.0,5828289,9.6,8.8,10.4,219
Maryland,2012,667.0,5884563,11.3,10.5,12.2,217
Maryland,2013,759.0,5928814,12.8,11.9,13.7,207
Maryland,2014,932.0,5976407,15.6,14.6,16.6,196
Massachusetts,1999,346.0,6317345,5.5,4.9,6.1,116
Massachusetts,2000,319.0,6349097,5.0,4.5,5.6,126
Massachusetts,2001,519.0,6397634,8.1,7.4,8.8,138
Massachusetts,2002,491.0,6417206,7.7,7.0,8.3,142
Massachusetts,2003,595.0,6422565,9.3,8.5,10.0,149
Massachusetts,2004,467.0,6412281,7.3,6.6,7.9,155
Massachusetts,2005,579.0,6403290,9.0,8.3,9.8,163
Massachusetts,2006,670.0,6410084,10.5,9.7,11.2,174
Massachusetts,2007,660.0,6431559,10.3,9.5,11.0,184
Massachusetts,2008,612.0,6468967,9.5,8.7,10.2,196
Massachusetts,2009,636.0,6517613,9.8,9.0,10.5,202
Massachusetts,2010,577.0,6547629,8.8,8.1,9.5,210
Massachusetts,2011,669.0,6587536,10.2,9.4,10.9,219
Massachusetts,2012,712.0,6646144,10.7,9.9,11.5,217
Massachusetts,2013,910.0,6692824,13.6,12.7,14.5,207
Massachusetts,2014,1161.0,6745408,17.2,16.2,18.2,196
Michigan,1999,140.0,9897116,1.4,1.2,1.6,116
Michigan,2000,196.0,9938444,2.0,1.7,2.2,126
Michigan,2001,211.0,9991120,2.1,1.8,2.4,138
Michigan,2002,248.0,10015710,2.5,2.2,2.8,142
Michigan,2003,278.0,10041152,2.8,2.4,3.1,149
Michigan,2004,390.0,10055315,3.9,3.5,4.3,155
Michigan,2005,527.0,10051137,5.2,4.8,5.7,163
Michigan,2006,641.0,10036081,6.4,5.9,6.9,174
Michigan,2007,523.0,10001284,5.2,4.8,5.7,184
Michigan,2008,656.0,9946889,6.6,6.1,7.1,196
Michigan,2009,747.0,9901591,7.5,7.0,8.1,202
Michigan,2010,725.0,9883640,7.3,6.8,7.9,210
Michigan,2011,756.0,9876187,7.7,7.1,8.2,219
Michigan,2012,700.0,9883360,7.1,6.6,7.6,217
Michigan,2013,934.0,9895622,9.4,8.8,10.0,207
Michigan,2014,1076.0,9909877,10.9,10.2,11.5,196
Minnesota,1999,67.0,4873481,1.4,1.1,1.7,116
Minnesota,2000,69.0,4919479,1.4,1.1,1.8,126
Minnesota,2001,112.0,4982796,2.2,1.8,2.7,138
Minnesota,2002,112.0,5018935,2.2,1.8,2.6,142
Minnesota,2003,122.0,5053572,2.4,2.0,2.8,149
Minnesota,2004,149.0,5087713,2.9,2.5,3.4,155
Minnesota,2005,162.0,5119598,3.2,2.7,3.7,163
Minnesota,2006,188.0,5163555,3.6,3.1,4.2,174
Minnesota,2007,185.0,5207203,3.6,3.0,4.1,184
Minnesota,2008,234.0,5247018,4.5,3.9,5.0,196
Minnesota,2009,278.0,5281203,5.3,4.6,5.9,202
Minnesota,2010,242.0,5303925,4.6,4.0,5.1,210
Minnesota,2011,295.0,5344861,5.5,4.9,6.1,219
Minnesota,2012,298.0,5379139,5.5,4.9,6.2,217
Minnesota,2013,314.0,5420380,5.8,5.2,6.4,207
Minnesota,2014,331.0,5457173,6.1,5.4,6.7,196
Mississippi,1999,16.0,2828408,5.9,0.3,0.9,116
Mississippi,2000,14.0,2844658,5.9,0.3,0.8,126
Mississippi,2001,26.0,2852994,0.9,0.6,1.3,138
Mississippi,2002,27.0,2858681,0.9,0.6,1.4,142
Mississippi,2003,31.0,2868312,1.1,0.7,1.5,149
Mississippi,2004,28.0,2889010,1.0,0.6,1.4,155
Mississippi,2005,44.0,2905943,1.5,1.1,2.0,163
Mississippi,2006,69.0,2904978,2.4,1.8,3.0,174
Mississippi,2007,98.0,2928350,3.3,2.7,4.1,184
Mississippi,2008,106.0,2947806,3.6,2.9,4.3,196
Mississippi,2009,98.0,2958774,3.3,2.7,4.0,202
Mississippi,2010,105.0,2967297,3.5,2.9,4.2,210
Mississippi,2011,84.0,2978512,2.8,2.2,3.5,219
Mississippi,2012,112.0,2984926,3.8,3.1,4.4,217
Mississippi,2013,103.0,2991207,3.4,2.8,4.1,207
Mississippi,2014,117.0,2994079,3.9,3.2,4.6,196
Missouri,1999,106.0,5561948,1.9,1.5,2.3,116
Missouri,2000,138.0,5595211,2.5,2.1,2.9,126
Missouri,2001,137.0,5641142,2.4,2.0,2.8,138
Missouri,2002,198.0,5674825,3.5,3.0,4.0,142
Missouri,2003,277.0,5709403,4.9,4.3,5.4,149
Missouri,2004,284.0,5747741,4.9,4.4,5.5,155
Missouri,2005,306.0,5790300,5.3,4.7,5.9,163
Missouri,2006,418.0,5842704,7.2,6.5,7.8,174
Missouri,2007,406.0,5887612,6.9,6.2,7.6,184
Missouri,2008,490.0,5923916,8.3,7.5,9.0,196
Missouri,2009,548.0,5961088,9.2,8.4,10.0,202
